x,y
0.010204,0.005154
0.010204,0.015254
0.010204,0.025354
0.010204,0.035454
0.010204,0.045554
0.010204,0.055654
0.010204,0.065754
0.010204,0.075854
0.010204,0.085954
0.010204,0.096054
0.010204,0.106154
0.010204,0.116254
0.010204,0.126354
0.010204,0.136454
0.010204,0.146554
0.010204,0.156653
0.010204,0.166753
0.010204,0.176853
0.010204,0.186953
0.010204,0.197053
0.010204,0.207153
0.010204,0.217253
0.010204,0.227353
0.010204,0.237453
0.010204,0.247553
0.010204,0.257653
0.010204,0.267753
0.010204,0.277853
0.010204,0.287953
0.010204,0.298053
0.010204,0.308153
0.010204,0.318253
0.010204,0.328353
0.010204,0.338453
0.010204,0.348553
0.010204,0.358653
0.010204,0.368753
0.010204,0.378853
0.010204,0.388953
0.010204,0.399052
0.010204,0.409152
0.010204,0.419252
0.010204,0.429352
0.010204,0.439452
0.010204,0.449552
0.010204,0.459652
0.010204,0.469752
0.010204,0.479852
0.010204,0.489952
0.010204,0.500052
0.010204,0.510152
0.010204,0.520252
0.010204,0.530352
0.010204,0.540452
0.010204,0.550552
0.010204,0.560652
0.010204,0.570752
0.010204,0.580852
0.010204,0.590952
0.010204,0.601052
0.010204,0.611152
0.010204,0.621252
0.010204,0.631352
0.010204,0.641451
0.010204,0.651551
0.010204,0.661651
0.010204,0.671751
0.010204,0.681851
0.010204,0.691951
0.010204,0.702051
0.010204,0.712151
0.010204,0.722251
0.010204,0.732351
0.010204,0.742451
0.010204,0.752551
0.010204,0.762651
0.010204,0.772751
0.010204,0.782851
0.010204,0.792951
0.010204,0.803051
0.010204,0.813151
0.010204,0.823251
0.010204,0.833351
0.010204,0.843451
0.010204,0.853551
0.010204,0.863651
0.010204,0.873751
0.010204,0.883850
0.010204,0.893950
0.010204,0.904050
0.010204,0.914150
0.010204,0.924250
0.010204,0.934350
0.010204,0.944450
0.010204,0.954550
0.010204,0.964650
0.010204,0.974750
0.010204,0.984850
0.010204,0.994950
